objectid,forest_cod,compartmen,subid,gis_area,lut,survey_yea,productive,const,mix_type,avg_spacin,estb_stems,ba_method,ba_date,dead_fall,dead_stand,dead_surve,comments,spp1,plantdate1,pyr1,pyrtype1,canopy1,yc1,yctype1,age1,mean_dbh1,stems1,height1,ba1,spp2,plantdate2,pyr2,pyrtype2,canopy2,yc2,yctype2,age2,mean_dbh2,stems2,height2,ba2,spp3,plantdate3,pyr3,pyrtype3,canopy3,yc3,yctype3,age3,mean_dbh3,stems3,height3,ba3,spp4,plantdate4,pyr4,pyrtype4,canopy4,yc4,yctype4,age4,mean_dbh4,stems4,height4,ba4,modifiedon,shape_star,shape_stle,com_sub
"17283",KK02,22054H,"19",1.420000000000000,CHF,"1996",80.000000000000000,NONE,INT,0.000000000000000,"0",NONE,,"0","0",N,,SS,1983-09-30,"1983",E,90.000000000000000,"22",,"36",0.000000000000000,"0",0.000000000000000,"0",ASH,1983-09-30,"1983",E,10.000000000000000,"0",,"36",0.000000000000000,"0",0.000000000000000,"0",,,"0",,0.000000000000000,"0",,"0",0.000000000000000,"0",0.000000000000000,"0",,,"0",,0.000000000000000,"0",,"0",0.000000000000000,"0",0.000000000000000,"0",2018-07-03,14184.949523900000713,551.747028960999955,
"17284",KK02,22054H,"27",1.220000000000000,MHF,"2002",30.000000000000000,NONE,INT,2.000000000000000,"0",SWEEP,,"0","0",Y,,ASH,1984-09-30,"1984",W,60.000000000000000,"0",,"35",0.000000000000000,"0",0.000000000000000,"0",BI,1984-09-30,"1984",W,20.000000000000000,"0",,"35",0.000000000000000,"0",0.000000000000000,"0",SS,1988-09-30,"1988",E,20.000000000000000,"0",,"31",0.000000000000000,"0",0.000000000000000,"0",,,"0",,0.000000000000000,"0",,"0",0.000000000000000,"0",0.000000000000000,"0",2018-07-03,12206.815734899999370,541.113014840000005,
"17285",KK02,22054H,"15",2.680000000000000,FELLED,"2018",0.000000000000000,NONE,,0.000000000000000,"0",FDCFEL,2018-03-12,"5","30",Y,,,,"0",,0.000000000000000,"0",,"0",0.000000000000000,"0",0.000000000000000,"0",,,"0",,0.000000000000000,"0",,"0",0.000000000000000,"0",0.000000000000000,"0",,,"0",,0.000000000000000,"0",,"0",0.000000000000000,"0",0.000000000000000,"0",,,"0",,0.000000000000000,"0",,"0",0.000000000000000,"0",0.000000000000000,"0",2018-07-03,26804.161437999999180,867.264206802999979,
"17286",KK02,22054H,"13",2.500000000000000,MHF,"2010",100.000000000000000,NONE,INT,2.000000000000000,"0",PLOT,2010-02-11,"10","60",Y,,DF,1982-09-30,"1982",E,40.000000000000000,"16",,"37",18.100000000000001,"537",18.000000000000000,"14",BI,1982-09-30,"1982",W,30.000000000000000,"6",N,"37",15.000000000000000,"500",10.000000000000000,"9",ASH,1982-09-30,"1982",W,15.000000000000000,"6",N,"37",14.000000000000000,"39",10.000000000000000,"1",OB,1982-09-30,"1982",W,15.000000000000000,"4",N,"37",13.000000000000000,"38",8.000000000000000,"1",2018-07-03,24991.678863500001171,791.433855924000000,
"17287",KK02,22054H,"29",1.290000000000000,MHF,"1997",80.000000000000000,NONE,INT,0.000000000000000,"0",NONE,,"0","0",N,,SP,1963-09-30,"1963",E,46.000000000000000,"14",,"56",0.000000000000000,"0",0.000000000000000,"0",BI,1963-09-30,"1963",E,25.000000000000000,"0",,"56",0.000000000000000,"0",0.000000000000000,"0",ASH,1963-09-30,"1963",E,15.000000000000000,"0",,"56",0.000000000000000,"0",0.000000000000000,"0",DF,1963-09-30,"1963",E,14.000000000000000,"0",,"56",0.000000000000000,"0",0.000000000000000,"0",2018-07-03,12880.781860400000369,521.085927551000054,
"17288",KK02,22054H,"8",0.390000000000000,MHF,"1994",80.000000000000000,NONE,INT,0.000000000000000,"0",NONE,,"0","0",N,,SS,1989-09-30,"1989",E,60.000000000000000,"16",N,"30",0.000000000000000,"0",0.000000000000000,"0",OB,1984-09-30,"1984",E,30.000000000000000,"0",,"35",0.000000000000000,"0",0.000000000000000,"0",OAK,1984-09-30,"1984",E,10.000000000000000,"0",,"35",0.000000000000000,"0",0.000000000000000,"0",,,"0",,0.000000000000000,"0",,"0",0.000000000000000,"0",0.000000000000000,"0",2018-07-03,3866.791931149999982,347.510790161999978,
"17289",KK02,22054H,"25",1.350000000000000,SCRUB,"1999",0.000000000000000,NONE,,0.000000000000000,"0",NONE,,"0","0",N,,ASH,,"0",E,100.000000000000000,"0",,"0",0.000000000000000,"0",0.000000000000000,"0",,,"0",,0.000000000000000,"0",,"0",0.000000000000000,"0",0.000000000000000,"0",,,"0",,0.000000000000000,"0",,"0",0.000000000000000,"0",0.000000000000000,"0",,,"0",,0.000000000000000,"0",,"0",0.000000000000000,"0",0.000000000000000,"0",2018-07-03,13543.764190699999745,477.013002444999984,
"17290",KK02,22054H,"20",0.850000000000000,CHF,"1996",70.000000000000000,NONE,INT,0.000000000000000,"0",NONE,,"0","0",N,,NS,1981-09-30,"1981",E,80.000000000000000,"18",,"38",0.000000000000000,"0",0.000000000000000,"0",SS,1986-09-30,"1986",E,10.000000000000000,"20",,"33",0.000000000000000,"0",0.000000000000000,"0",BI,1981-09-30,"1981",W,10.000000000000000,"0",,"38",0.000000000000000,"0",0.000000000000000,"0",,,"0",,0.000000000000000,"0",,"0",0.000000000000000,"0",0.000000000000000,"0",2018-07-03,8459.971130370000537,465.570495154000014,
"17291",KK02,22054H,"30",0.570000000000000,FELLED,"2018",0.000000000000000,NONE,,0.000000000000000,"0",FDCFEL,2018-03-12,"0","0",N,,,,"0",,0.000000000000000,"0",,"0",0.000000000000000,"0",0.000000000000000,"0",,,"0",,0.000000000000000,"0",,"0",0.000000000000000,"0",0.000000000000000,"0",,,"0",,0.000000000000000,"0",,"0",0.000000000000000,"0",0.000000000000000,"0",,,"0",,0.000000000000000,"0",,"0",0.000000000000000,"0",0.000000000000000,"0",2018-07-03,5721.089111330000378,311.371431907999977,
"17292",KK02,22054H,"31",2.360000000000000,FELLED,"2018",0.000000000000000,NONE,,0.000000000000000,"0",FDCFEL,2018-03-12,"0","0",N,,,,"0",,0.000000000000000,"0",,"0",0.000000000000000,"0",0.000000000000000,"0",,,"0",,0.000000000000000,"0",,"0",0.000000000000000,"0",0.000000000000000,"0",,,"0",,0.000000000000000,"0",,"0",0.000000000000000,"0",0.000000000000000,"0",,,"0",,0.000000000000000,"0",,"0",0.000000000000000,"0",0.000000000000000,"0",2018-07-03,23604.074249299999792,672.615362157000050,
"17293",KK02,22054H,"23",0.620000000000000,BHF,"1999",80.000000000000000,NONE,INT,0.000000000000000,"0",NONE,,"0","0",N,,BI,1963-09-30,"1963",W,70.000000000000000,"0",,"56",0.000000000000000,"0",0.000000000000000,"0",NS,1963-09-30,"1963",E,15.000000000000000,"14",,"56",0.000000000000000,"0",0.000000000000000,"0",ASH,1963-09-30,"1963",E,10.000000000000000,"0",,"56",0.000000000000000,"0",0.000000000000000,"0",ALD,1963-09-30,"1963",E,5.000000000000000,"0",,"56",0.000000000000000,"0",0.000000000000000,"0",2018-07-03,6234.801086430000396,336.426655615000016,
